,Date,ID,Symbol,market_cap
0,2022-04-01,ripple,xrp,39229302714.938545
1,2022-04-02,ripple,xrp,39813871220.935646
2,2022-04-03,ripple,xrp,39816351313.276695
3,2022-04-04,ripple,xrp,40545522531.02838
4,2022-04-05,ripple,xrp,39809813062.1763
5,2022-04-06,ripple,xrp,39411319969.837364
6,2022-04-07,ripple,xrp,36687016206.95844
7,2022-04-08,ripple,xrp,37944994433.974365
8,2022-04-09,ripple,xrp,36222968800.71056
9,2022-04-10,ripple,xrp,36744121558.51562
10,2022-04-11,ripple,xrp,36403620789.85844
11,2022-04-12,ripple,xrp,33601430163.01578
12,2022-04-13,ripple,xrp,34518751871.64326
13,2022-04-14,ripple,xrp,34923339191.64158
14,2022-04-15,ripple,xrp,35057442819.08632
15,2022-04-16,ripple,xrp,37917721713.907646
16,2022-04-17,ripple,xrp,37740603800.122475
17,2022-04-18,ripple,xrp,36281404230.41864
18,2022-04-19,ripple,xrp,36961492294.77778
19,2022-04-20,ripple,xrp,37281016472.190475
20,2022-04-21,ripple,xrp,36163418569.87475
21,2022-04-22,ripple,xrp,35216094189.82071
22,2022-04-23,ripple,xrp,34640114391.674164
23,2022-04-24,ripple,xrp,34027662045.8427
24,2022-04-25,ripple,xrp,33679276496.51442
25,2022-04-26,ripple,xrp,33457536154.78493
26,2022-04-27,ripple,xrp,30899259597.563015
27,2022-04-28,ripple,xrp,31365628078.428024
28,2022-04-29,ripple,xrp,30955595874.83909
29,2022-04-30,ripple,xrp,29487384901.930927
30,2022-05-01,ripple,xrp,28276768858.64577
31,2022-05-02,ripple,xrp,29306510542.64941
32,2022-05-03,ripple,xrp,29560017164.350986
33,2022-05-04,ripple,xrp,29175409587.88523
34,2022-05-05,ripple,xrp,31335585499.299335
35,2022-05-06,ripple,xrp,29028787892.059036
36,2022-05-07,ripple,xrp,29205373000.255188
37,2022-05-08,ripple,xrp,28191797295.962685
38,2022-05-09,ripple,xrp,27408643527.874832
39,2022-05-10,ripple,xrp,23917472370.21285
40,2022-05-11,ripple,xrp,24901058481.377224
41,2022-05-12,ripple,xrp,20236495510.39983
42,2022-05-13,ripple,xrp,18743633948.127808
43,2022-05-14,ripple,xrp,20468064488.24979
44,2022-05-15,ripple,xrp,20788390700.981167
45,2022-05-16,ripple,xrp,21676314969.990356
46,2022-05-17,ripple,xrp,20475828597.591156
47,2022-05-18,ripple,xrp,21206918515.01422
48,2022-05-19,ripple,xrp,19667366546.451973
49,2022-05-20,ripple,xrp,20386508123.763515
50,2022-05-21,ripple,xrp,19911044580.081833
51,2022-05-22,ripple,xrp,20075698416.052597
52,2022-05-23,ripple,xrp,20460151559.50088
53,2022-05-24,ripple,xrp,19603175616.81888
54,2022-05-25,ripple,xrp,19782108930.152927
55,2022-05-26,ripple,xrp,19651540840.327026
56,2022-05-27,ripple,xrp,19066430980.02002
57,2022-05-28,ripple,xrp,18480769644.785652
58,2022-05-29,ripple,xrp,18709446111.71902
59,2022-05-30,ripple,xrp,18842893628.887955
60,2022-05-31,ripple,xrp,20236714660.095737
61,2022-06-01,ripple,xrp,20519703901.01127
62,2022-06-02,ripple,xrp,19314953814.235928
63,2022-06-03,ripple,xrp,19625091701.739594
64,2022-06-04,ripple,xrp,18902929145.44984
65,2022-06-05,ripple,xrp,18982750748.83201
66,2022-06-06,ripple,xrp,19187176365.392696
67,2022-06-07,ripple,xrp,19501680101.245834
68,2022-06-08,ripple,xrp,19757121548.77853
