,Date,ID,Symbol,market_cap
0,2022-04-01,litecoin,ltc,8649611372.497837
1,2022-04-02,litecoin,ltc,8737259702.743517
2,2022-04-03,litecoin,ltc,8740254744.195148
3,2022-04-04,litecoin,ltc,9029301326.591904
4,2022-04-05,litecoin,ltc,8737514857.13246
5,2022-04-06,litecoin,ltc,8627354200.909416
6,2022-04-07,litecoin,ltc,7865215223.086861
7,2022-04-08,litecoin,ltc,8000180296.303743
8,2022-04-09,litecoin,ltc,7756150300.742073
9,2022-04-10,litecoin,ltc,7904659965.946905
10,2022-04-11,litecoin,ltc,7774659047.922987
11,2022-04-12,litecoin,ltc,7200362878.926139
12,2022-04-13,litecoin,ltc,7352380319.887069
13,2022-04-14,litecoin,ltc,7744728903.55611
14,2022-04-15,litecoin,ltc,7531293576.470776
15,2022-04-16,litecoin,ltc,7787632988.07337
16,2022-04-17,litecoin,ltc,8024485382.087425
17,2022-04-18,litecoin,ltc,7620290319.365509
18,2022-04-19,litecoin,ltc,7802221294.782138
19,2022-04-20,litecoin,ltc,7978091490.946065
20,2022-04-21,litecoin,ltc,7847576071.458196
21,2022-04-22,litecoin,ltc,7495270070.090092
22,2022-04-23,litecoin,ltc,7396721181.211495
23,2022-04-24,litecoin,ltc,7388045408.439403
24,2022-04-25,litecoin,ltc,7353852322.292775
25,2022-04-26,litecoin,ltc,7342458470.66421
26,2022-04-27,litecoin,ltc,6905588552.7946
27,2022-04-28,litecoin,ltc,7044347418.948979
28,2022-04-29,litecoin,ltc,7233137789.767229
29,2022-04-30,litecoin,ltc,7058953673.112801
30,2022-05-01,litecoin,ltc,6741792114.121952
31,2022-05-02,litecoin,ltc,6988663597.435838
32,2022-05-03,litecoin,ltc,7071929146.743919
33,2022-05-04,litecoin,ltc,6983388525.509901
34,2022-05-05,litecoin,ltc,7452459936.749582
35,2022-05-06,litecoin,ltc,6815194463.222593
36,2022-05-07,litecoin,ltc,6813705615.754961
37,2022-05-08,litecoin,ltc,6654871681.642213
38,2022-05-09,litecoin,ltc,6605705093.816359
39,2022-05-10,litecoin,ltc,5453577954.083182
40,2022-05-11,litecoin,ltc,5623187760.881976
41,2022-05-12,litecoin,ltc,4717884226.109748
42,2022-05-13,litecoin,ltc,4514362713.304638
43,2022-05-14,litecoin,ltc,4764135481.639052
44,2022-05-15,litecoin,ltc,4862403608.180924
45,2022-05-16,litecoin,ltc,5027705637.105439
46,2022-05-17,litecoin,ltc,4727063471.025696
47,2022-05-18,litecoin,ltc,5131419406.439527
48,2022-05-19,litecoin,ltc,4652219478.740787
49,2022-05-20,litecoin,ltc,5083330267.99783
50,2022-05-21,litecoin,ltc,4832082095.14123
51,2022-05-22,litecoin,ltc,4906422893.112631
52,2022-05-23,litecoin,ltc,5051287079.55842
53,2022-05-24,litecoin,ltc,4869719418.121448
54,2022-05-25,litecoin,ltc,4947972472.435592
55,2022-05-26,litecoin,ltc,4802383937.022762
56,2022-05-27,litecoin,ltc,4494521684.208906
57,2022-05-28,litecoin,ltc,4326902149.869615
58,2022-05-29,litecoin,ltc,4446040136.405456
59,2022-05-30,litecoin,ltc,4499193325.037191
60,2022-05-31,litecoin,ltc,4866360584.761708
61,2022-06-01,litecoin,ltc,4823421848.116394
62,2022-06-02,litecoin,ltc,4445023672.478049
63,2022-06-03,litecoin,ltc,4537878827.331688
64,2022-06-04,litecoin,ltc,4413629736.674005
65,2022-06-05,litecoin,ltc,4486056829.208542
66,2022-06-06,litecoin,ltc,4450355542.094314
67,2022-06-07,litecoin,ltc,4537018461.134338
68,2022-06-08,litecoin,ltc,4517091525.464754
